"交互ID","版本","端","组件/位置","触发者","前置状态","API operationId","OpenAPI状态","成功状态","失败反馈","最低权限","需求ID","门禁ID","实现状态"
"INT-D-001","0.8","Discord","公共入口/创建订单","用户","已加入服务器且内部钱包已自动建立","createOrder","M7 合同","创建 DRAFT 订单并生成私密频道；已有活跃订单则返回原频道","余额不足或 CONFLICT 时保持原状态；服务错误附 request_id","用户","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01","计划开发"
"INT-D-002","0.8","Discord","公共入口/我的服务中心","用户","已加入服务器","getMyServiceCenter","M7 合同","返回 ephemeral 个人摘要与内部 CAT 余额；我的收益只表示当前用户是受益人","账户不可用时展示联系客服；服务错误附 request_id","用户","REQ-P0-PRIVACY-01;REQ-P0-FUNDS-01","—","计划开发"
"INT-D-003","0.8","Discord","服务中心/联系充值客服","用户","个人中心已打开","getMyServiceCenter","M7 合同","ephemeral 展示受控客服入口和充值说明；不会把点击视为到账","客服入口不可用时显示 request_id；不收集银行卡或支付密码","用户","REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-004","0.7","Discord","订单面板/加载目录","用户","订单 DRAFT","listServiceCatalog","OpenAPI v1.0 现行合同","以消息 String Select 展示启用且双价格完整的服务；每个 Select 最多 25 项，用户端只返回客户价格","SERVICE_NOT_AVAILABLE：刷新目录并保留草稿；超出 25 项时消息分页","订单所有者","REQ-P0-ORDER-01","GATE-P0-01","计划开发"
"INT-D-004A","1.5","Discord","订单面板/旧优先陪玩入口","用户","订单 DRAFT","—","M11 退役决议","当前四步点菜式向导不展示也不提交旧优先陪玩 User Select；遗留快照仅供迁移审计，不参与候选通知、报名排序或客户终选","旧 custom ID 或非空优先名单写入不得恢复独占首轮、自动回退或自动选人；客户端刷新现行候选池流程","订单所有者","REQ-P0-ORDER-01;SEL-01","GATE-P0-01;GATE-P0-03","已退役兼容"
"INT-D-005","0.7","Discord","订单面板/保存结构化需求","用户","订单 DRAFT 且当前选项有效","updateOrderDraft","OpenAPI v1.0 现行合同","逐次更新游戏、服务、区服、时长、标签、价格预览和版本；提交一次后编辑原消息并加载下一组关联选项","VALIDATION_ERROR：在消息中标注字段；CONFLICT：刷新订单；不在打开的 Modal 内级联刷新","订单所有者","REQ-P0-ORDER-01","GATE-P0-01","计划开发"
"INT-D-005A","1.5","Discord","第二步游戏菜单/需求备注 Modal","用户","本人订单 DRAFT 且已选游戏","updateOrderDraft","M10-US-09 需求备注决议","点击填写需求备注打开单字段 Modal；携带 expectedVersion 保存整单可选备注，成功后返回原游戏菜单并显示内容；逐席位偏好仍在第三步编辑","VALIDATION_ERROR：重新打开备注 Modal；CONFLICT：刷新订单且不覆盖新事实；不得包含自定义 Modal 按钮","订单所有者","REQ-P0-ORDER-01;ORD-04","GATE-P0-01;AT-MULTI-011","本地候选，待真实 Guild UAT"
"INT-D-006","0.7","Discord","订单面板/完整确认摘要","用户","订单 DRAFT 且目录版本有效","estimateOrder","OpenAPI v1.0 现行合同","以私密消息返回完整确认、取消规则、ledgerBalanceMinor、reservedMinor、availableMinor 和提交后可用金额","余额或价格暂不可用时禁用提交；保留草稿并附 request_id","订单所有者","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01;GATE-P0-02","计划开发"
"INT-D-007","0.7","Discord","订单面板/确认提交并预留","用户","DRAFT、availableMinor 足够、目录版本有效","submitOrder","现有","原子创建订单 FundReservation 并进入 PENDING_DISPATCH；不捕获消费","余额不足保持 DRAFT；未知预留结果禁用重复提交并显示 request_id","订单所有者","REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-008","0.7","Discord","订单提交/查询未知结果","用户","submitOrder 超时或网络中断","getOrder","OpenAPI v1.0 现行合同","按原 request_id 或 idempotencyKey 返回唯一提交和预留结果","仍未知时保持禁用并转客服；不得创建第二笔预留","订单所有者","REQ-P0-FUNDS-01;REQ-P0-SUPPORT-01","GATE-P0-02","计划开发"
"INT-D-009","0.7","Discord","订单面板/刷新订单","用户或陪玩","对订单有参与权限","getOrder","现有","返回状态、匹配、逐名陪玩就绪、预留和下一步；客户只读 readiness","403 不泄露对象；CONFLICT 刷新版本","订单参与者","REQ-P0-MATCH-01;REQ-P0-READY-01","GATE-P0-03;GATE-P0-05","计划开发"
"INT-D-010","1.5","Discord","订单面板/候选池透明信息","用户","订单 PENDING_DISPATCH 或 ACCEPTED","getOrder;getCurrentOrderSelectionPool;listOrderSelectionApplications","M11 现行合同","展示待招募/COLLECTING/SELECTION 阶段、有效报名 mention、客户下一步和原子终选结果；不显示自然截止或自动获胜者","服务错误保留上一有效版本并标注 calculatedAt；候选身份只对订单客户和授权客服可见","订单所有者","REQ-P0-MATCH-01;SEL-01","GATE-P0-03","现行合同"
"INT-D-011","1.5","Discord","订单面板/终选后进入频道","用户或正式陪玩","订单 ACCEPTED 且为参与者","getOrder","M11 现行合同","客户原子终选成功后校验频道授权并返回 Discord 频道链接；未入选报名者不得访问","频道未就绪时返回安全重试信息；越权不泄露频道","订单参与者","REQ-P0-MATCH-01;REQ-P0-PLAYER-02","GATE-P0-03;GATE-P0-04","现行合同"
"INT-D-012","0.7","Discord","订单面板/陪玩确认本人就绪","当前有效陪玩","订单 ACCEPTED 且本人是有效参与人","setOrderReadiness","M19/M10 合同","只记录当前陪玩 readiness；所有当前有效陪玩均就绪后 API 自动进入 IN_SERVICE；客户没有就绪动作","重复提交幂等；CONFLICT 刷新；超时创建客服任务","订单有效陪玩","REQ-P0-READY-01;READY-02","AT-STATE-001;AT-MULTI-003","开发中"
"INT-D-013","0.7","Discord","订单面板/刷新陪玩就绪","用户或当前陪玩","订单 ACCEPTED 或 IN_SERVICE","getOrder","M19/M10 合同","逐名返回有效陪玩 readiness、确认时间、超时和服务开始时间；客户只读","403 不泄露对象；服务错误附 request_id","订单参与者","REQ-P0-READY-01;READY-02","AT-STATE-001;AT-STATE-002","开发中"
"INT-D-014","0.7","Discord","订单面板/取消影响预览","用户","订单允许取消或请求客服","previewOrderCancellation","OpenAPI v1.0 现行合同","展示可自动处理性、预计释放/退款金额、方式、时效和 required_level","数据变化要求刷新预览；预览不执行资金动作","订单所有者","REQ-P0-CANCEL-01","GATE-P0-06","计划开发"
"INT-D-015","0.7","Discord","订单面板/确认取消","用户","已查看最新取消影响；DRAFT 或 PENDING_DISPATCH 可自动处理","cancelOrder","现有","DRAFT 无资金动作；PENDING_DISPATCH 原子释放预留后进入 CANCELLED","释放失败保持原状态并创建客服任务；不得先显示已取消","订单所有者","REQ-P0-CANCEL-01;REQ-P0-FUNDS-01","GATE-P0-06;GATE-P0-02","计划开发"
"INT-D-016","0.7","Discord","订单面板/申请客服取消或报告问题","用户或陪玩","活跃订单且自动取消不适用或主动求助","createOrderStaffTask","现有","创建或返回唯一活动客服任务并展示进度","重复请求返回现有任务；失败附 request_id 且不改变订单","订单参与者","REQ-P0-SUPPORT-01;REQ-P0-CANCEL-01","GATE-P0-06","计划开发"
"INT-D-017","1.5","Discord","订单面板/陪玩申请完成","当前有效陪玩","订单 IN_SERVICE","requestOrderCompletion","现有","订单进入 PENDING_CONFIRMATION 并通知用户；订单预留保持","CONFLICT：刷新；重复请求幂等；非参与陪玩点击时私密说明该按钮仅供本单有效陪玩使用","当前有效陪玩","REQ-P0-PLAYER-02;REQ-P0-FUNDS-01","GATE-P0-04;GATE-P0-02","现行合同"
