"文案ID","版本","端","场景","组件","中文文案","显示条件","OpenAPI operationId","需求ID","门禁ID","备注","实现状态"
"COPY-D-001","0.7","Discord","公共入口","标题","陪玩服务中心","固定入口消息","—","REQ-P0-PRIVACY-01","—","公开可见","计划开发"
"COPY-D-002","0.7","Discord","公共入口","说明","创建一个私密订单，或查看你的余额、消费记录与“我的收益”。“我的收益”只表示你是受益人的记录。","固定入口消息","—","REQ-P0-PRIVACY-01","—","不展示出向推荐信息","计划开发"
"COPY-D-003","0.7","Discord","公共入口","提示","每位用户同时只能有一个进行中订单；已有订单时会直接带你返回原频道。","固定入口消息","—","REQ-P0-ORDER-01","GATE-P0-01","P0 活跃订单上限为 1","计划开发"
"COPY-D-004","0.7","Discord","公共入口","按钮","创建订单","始终显示","createOrder","REQ-P0-ORDER-01","GATE-P0-01","—","计划开发"
"COPY-D-005","0.7","Discord","公共入口","按钮","我的服务中心","始终显示","getMyServiceCenter","REQ-P0-PRIVACY-01","—","ephemeral","计划开发"
"COPY-D-010","0.8","Discord","客服充值","标题","需要充值？请联系客服","余额不足或用户主动查看充值说明","—","REQ-P0-FUNDS-01","—","ephemeral","计划开发"
"COPY-D-011","0.8","Discord","客服充值","正文","付款后请把渠道、交易号、付款时间和金额凭证提供给客服。","打开充值说明","—","REQ-P0-FUNDS-01","—","图片或 PDF 可选；不得要求支付密码或完整卡号","计划开发"
"COPY-D-012","0.8","Discord","客服充值","安全提示","客服确认收据并在系统登记后，余额会立即更新。","展示客服入口","—","REQ-P0-FUNDS-01","—","联系客服本身不代表到账","计划开发"
"COPY-D-013","0.8","Discord","客服充值","按钮","联系客服","受控客服入口可用","getMyServiceCenter","REQ-P0-FUNDS-01","—","不链接第三方支付页面","计划开发"
"COPY-D-014","0.8","Discord","客服充值","按钮","刷新余额","个人中心已打开","getMyBalance","REQ-P0-FUNDS-01","GATE-P0-02","余额由 API 返回，客户端不计算","计划开发"
"COPY-D-020","0.7","Discord","订单草稿","状态说明","请选择服务并填写即时单需求。确认提交前不会创建预留。","DRAFT","—","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01;GATE-P0-02","—","计划开发"
"COPY-D-021","0.7","Discord","订单提交","状态说明","正在原子校验价格和余额并创建订单预留，请勿重复点击。","SUBMITTING","—","REQ-P0-FUNDS-01","GATE-P0-02","禁用重复提交","计划开发"
"COPY-D-022","1.5","Discord","待派单","状态说明","订单已预留；候选池已开放，符合客服审核状态、Guild 和需求标签的陪玩可报名。","PENDING_DISPATCH","—","REQ-P0-FUNDS-01;REQ-P0-MATCH-01;SEL-01","GATE-P0-02;GATE-P0-03","不依赖 Presence 或 legacy availability","已实现"
