"WAL-V001","资金事实源","INTERNAL_LEDGER_ONLY","余额只来自内部追加式 CAT 账本","运行时代码不读取或写入外部支付平台","静态扫描与 AT-WAL-001","技术负责人","阻断 P0"
"WAL-V002","币种","CAT_ONLY","所有内部金额和阈值固定 CAT subunits","内部事实拒绝非 CAT；充值付款证据固定 USD cents；不做动态汇率换算","合同测试与 AT-WAL-002","产品 / 开发","阻断 P0"
"WAL-V003","充值凭证","REQUIRED_FIELDS","渠道、交易号、付款时间、备注必填","缺任一字段不入账","API 测试与 AT-WAL-003","客服 / QA","阻断充值"
"WAL-V004","充值附件","OPTIONAL_PRIVATE_ATTACHMENT","图片或 PDF 可选且私有保存","只允许 JPEG/PNG/WebP/PDF；最大 10 MiB；保存 SHA-256","上传测试与 AT-WAL-004","安全 / QA","阻断附件"
"WAL-V005","充值去重","CHANNEL_REFERENCE_UNIQUE","同一渠道交易号唯一","并发重复仅一笔成功","数据库并发测试与 AT-WAL-005","开发 / QA","阻断充值"
"WAL-V006","充值权限","TOP_UP_AUTHORIZATION","任意金额均最低 L2 且要求近期 step-up；L1 不可执行","API 使用可信 Actor Context 判断，拒绝时零业务写入并记录审计","权限边界测试与 AT-WAL-004;AT-WLT-012","产品 / 安全","阻断充值"
"WAL-V007","充值原子性","IMMEDIATE_ATOMIC_CREDIT","充值、账本、附件关联和审计同事务","审计失败时全部回滚","故障注入与 AT-WAL-007","开发 / QA","阻断充值"
"WAL-V008","业务退款","INTERNAL_REFUND_CREDIT","订单退款追加内部余额 CREDIT","不调用原支付渠道、不覆盖原消费","API/DB 测试与 AT-WAL-008","运营 / QA","阻断退款"
"WAL-V009","线下退款","EXTERNAL_REFUND_DEBIT","渠道退款完成后登记内部 DEBIT","只扣 availableMinor；不得负余额或占用预留","并发测试与 AT-WAL-009","客服 / QA","阻断退款"
"WAL-V010","预留","RESERVATION_LIFECYCLE","订单/礼物创建预留、完成捕获、取消释放","所有动作共享用户资金锁和幂等键","并发测试与 AT-WAL-010","开发 / QA","阻断消费"
"AUD-V001","全量写审计","ALL_MUTATIONS","Dashboard、Discord、Bot、Webhook 和 Job 的每次写操作都审计","成功、失败、拒绝均可追溯","路由清单与 AT-AUD-005","安全 / QA","阻断 P0"
"AUD-V002","对象变更","PER_OBJECT_CHANGES","成功操作列出每个受影响对象的前后变化","AuditLogChange 顺序稳定且脱敏","数据库测试与 AT-AUD-006","安全 / QA","阻断 P0"
"AUD-V003","事务门禁","AUDIT_FAIL_CLOSED","成功业务写入与审计同事务","审计失败则业务回滚","故障注入与 AT-AUD-007","开发 / QA","阻断 P0"
"AUD-V004","不可变","APPEND_ONLY","账本、凭证和审计不可更新或删除","任何角色都没有硬删除接口","数据库约束与 AT-AUD-008","安全 / QA","阻断 P0"
