"ID","优先级","层级","模块","标题","前置数据","GIVEN","WHEN","THEN","对应需求","建议自动化"
"AT-ACC-001","P0_BLOCKER","E2E","ACCOUNT","Discord 身份识别已开通内部账户","FX-USER-CUSTOMER-A; FX-DISCORD-ACCOUNT-A","GIVEN 已由受信流程开通的用户与唯一 Discord 身份","WHEN 用户从公共入口打开个人服务中心","THEN API 仅根据可信 Actor Context 解析内部用户；Bot 仅以 ephemeral 返回内部 CAT 账户摘要","SPEC-6.1; SPEC-10.2; SPEC-17.1; M9-SPEC-§3","E2E_DISCORD"
"AT-ACC-002","P0_HIGH","API","ACCOUNT","未开通 Discord 身份被拒绝","FX-USER-UNBOUND","GIVEN Discord 身份尚未关联内部用户","WHEN 调用个人账户或余额只读 API","THEN 返回不可枚举的未找到错误；不创建用户、钱包或半成品映射","SPEC-6.1; SPEC-12; SPEC-17.1","API_AUTO"
"AT-ACC-003","P0_BLOCKER","API","ACCOUNT","Discord 身份在 Guild 内唯一","FX-USER-CUSTOMER-A; FX-DISCORD-ACCOUNT-A","GIVEN Guild 内 Discord 身份已关联 FX-USER-CUSTOMER-A","WHEN 受信流程尝试将同一 Discord 身份关联到另一用户","THEN 数据库唯一约束拒绝冲突且原映射不变；非只读尝试记入 audit log","SPEC-9; SPEC-10.2","API_DB_INTEGRATION"
"AT-ACC-004","P0_HIGH","E2E","ACCOUNT","M3 前个人服务中心保持私密稳定空状态","FX-GUILD; FX-USER-CUSTOMER-A; FX-BOT","GIVEN 已绑定用户尚无已实现的消费或返佣模块数据","WHEN 用户打开个人服务中心并查询余额、当前订单、消费和本人返佣摘要","THEN Bot 仅以 ephemeral 展示实时余额与当前订单；消费和本人返佣返回结构稳定的空列表而非错误、伪造数据或公共消息","SPEC-3.1; SPEC-6.1; SPEC-10.2; SPEC-17.1","E2E_DISCORD_API"
"AT-CAT-001","P0_BLOCKER","API","CATALOG","仅上架且双价格完整的服务可下单","FX-SERVICE-ACTIVE-V1; FX-SERVICE-DISABLED; FX-SERVICE-MISSING-PAYOUT","GIVEN 目录同时存在完整上架、已下架及缺少陪玩结算价的版本","WHEN 用户查询 GET /services 并尝试更新订单草稿","THEN 只返回完整上架版本；其他版本返回 422 SERVICE_NOT_AVAILABLE；用户响应不泄露陪玩结算价","SPEC-6.2; SPEC-9; SPEC-10.2; SPEC-17.2","API_AUTO"
"AT-CAT-002","P0_BLOCKER","API","CATALOG","订单保存服务版本和双价格快照","FX-SERVICE-ACTIVE-V1; FX-SERVICE-ACTIVE-V2; FX-ORDER-DRAFT-A","GIVEN 草稿按 V1 估价后运营发布价格不同的 V2","WHEN 用户提交原草稿并完成订单","THEN 订单、扣款和陪玩收益继续使用 V1 的 catalog_version、customer_unit_price_minor、player_unit_payout_minor；V2 只影响新草稿","SPEC-3.10; SPEC-6.2; SPEC-9; SPEC-17.2","API_DB_INTEGRATION"
"AT-CAT-003","P0_HIGH","API","ORDER","拒绝预约字段","FX-USER-CUSTOMER-A; FX-SERVICE-ACTIVE-V1","GIVEN Prototype 仅支持即时单","WHEN 客户在 PATCH /orders/:id 中提交 future_start_at 或 scheduled_at","THEN API 返回字段校验错误；订单保持 DRAFT；不扣款、不派单","SPEC-2.3; SPEC-6.2; SPEC-17.2","API_AUTO"
"AT-CHN-001","P0_BLOCKER","E2E","DISCORD_CHANNEL","创建私密订单频道并应用最小权限","FX-GUILD; FX-USER-CUSTOMER-A; FX-STAFF-L1; FX-BOT","GIVEN 已绑定用户从公共入口创建订单","WHEN Bot 根据 API 返回的 channel_spec 建立频道","THEN @everyone 无权查看；客户、Bot 和允许范围员工可访问；陪玩在接单前不可见；面板被置顶且余额不公开","SPEC-5.5; SPEC-6.2; SPEC-7; SPEC-17.1","E2E_DISCORD"
"AT-CHN-002","P0_HIGH","E2E","DISCORD_CHANNEL","客户终选后只授权正式陪玩","FX-ORDER-PENDING-DISPATCH; FX-PLAYER-ACTIVE-AVAILABLE","GIVEN 客户已手动终止招募且候选池存在多名有效报名者","WHEN 客户原子终选并由 API 返回 ACCEPTED，Bot 处理正式参与人事件","THEN 5 秒内仅入选陪玩获得订单频道权限；订单面板显示逐名正式陪玩；招募卡进入终态；其他候选仍不可访问私密频道","SPEC-6.3; SPEC-11.1; SPEC-17.2","E2E_DISCORD"
"AT-CHN-003","P0_HIGH","E2E","RECOVERY","创建频道失败不会产生可提交订单","FX-USER-CUSTOMER-A; FX-DISCORD-FAIL-CREATE-CHANNEL","GIVEN Discord 创建频道返回权限错误或超时","WHEN 用户点击创建订单","THEN 用户收到 ephemeral 重试提示；订单不进入可提交状态；失败原因和 request_id 可在 Dashboard 查看；重试不产生多个活跃订单","SPEC-12; SPEC-17.1","E2E_DISCORD_FAULT"
"AT-ORD-001","P0_BLOCKER","E2E","ORDER","即时订单四阶段内提交成功","FX-USER-CUSTOMER-A; FX-BALANCE-SUFFICIENT; FX-SERVICE-ACTIVE-V1","GIVEN 已绑定客户无活跃订单且可用余额充足","WHEN 客户依次创建频道、选择服务与单位、查看完整确认并提交","THEN 主要操作不超过四阶段；一次原子资金预留成功；订单从 DRAFT 进入 PENDING_DISPATCH；生成一轮派单且不提前捕获资金","PL-01; PL-02; SPEC-3.2; SPEC-6.2; SPEC-17.2","E2E_DISCORD"
