"acceptance_id","priority","layer","module","title","requirement_ids","suggested_automation","story_ids","operation_ids","test_files","evidence_refs","execution_class","candidate_status","external_candidate_ref","external_executed_at","external_evidence_refs"
"AT-ACC-001","P0_BLOCKER","E2E","ACCOUNT","Discord 身份识别已开通内部账户","SPEC-6.1; SPEC-10.2; SPEC-17.1; M9-SPEC-§3","E2E_DISCORD","M1-US-02;M23-US-02","getCurrentBalance;getCurrentUser","tests/m1-us-02-account.spec.ts","evidence/P0/M1-US-02/summary.md;evidence/P0/M23-US-02/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-ACC-002","P0_HIGH","API","ACCOUNT","未开通 Discord 身份被拒绝","SPEC-6.1; SPEC-12; SPEC-17.1","API_AUTO","M1-US-02;M23-US-02","getCurrentBalance;getCurrentUser","tests/m1-us-02-account.spec.ts","evidence/P0/M1-US-02/summary.md;evidence/P0/M23-US-02/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-ACC-003","P0_BLOCKER","API","ACCOUNT","Discord 身份在 Guild 内唯一","SPEC-9; SPEC-10.2","API_DB_INTEGRATION","M1-US-02;M23-US-02","getCurrentBalance;getCurrentUser","tests/m1-us-02-account.spec.ts","evidence/P0/M1-US-02/summary.md;evidence/P0/M23-US-02/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-ACC-004","P0_HIGH","E2E","ACCOUNT","M3 前个人服务中心保持私密稳定空状态","SPEC-3.1; SPEC-6.1; SPEC-10.2; SPEC-17.1","E2E_DISCORD_API","M1-US-06;M23-US-02","getCurrentBalance;getCurrentUser;listCurrentUserCommissions;listCurrentUserConsumptions","tests/m1-us-06-api.spec.ts;tests/m1-us-06-bot.spec.ts","evidence/P0/M1-US-06/summary.md;evidence/P0/M23-US-02/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-CAT-001","P0_BLOCKER","API","CATALOG","仅上架且双价格完整的服务可下单","SPEC-6.2; SPEC-9; SPEC-10.2; SPEC-17.2","API_AUTO","M1-US-01;M23-US-03;M9-US-01","createServiceCatalogVersion;estimateService;listServices;updateServiceCatalogVersion","tests/m1-us-01-api.spec.ts;tests/m1-us-01-db.spec.ts;tests/m1-us-01.spec.ts;tests/m9-us-01-contract.spec.ts","evidence/P0/M1-US-01/summary.md;evidence/P0/M23-US-03/summary.md;evidence/P0/M9-US-01/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAT-002","P0_BLOCKER","API","CATALOG","订单保存服务版本和双价格快照","SPEC-3.10; SPEC-6.2; SPEC-9; SPEC-17.2","API_DB_INTEGRATION","M1-US-01;M23-US-03;M23-US-04","createServiceCatalogVersion;estimateService;listServices;updateServiceCatalogVersion","tests/m1-us-01-api.spec.ts;tests/m1-us-01-db.spec.ts;tests/m1-us-01.spec.ts","evidence/P0/M1-US-01/summary.md;evidence/P0/M23-US-03/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAT-003","P0_HIGH","API","ORDER","拒绝预约字段","SPEC-2.3; SPEC-6.2; SPEC-17.2","API_AUTO","M23-US-04;M4-US-03","createGiftCatalogItem;createServiceCatalogVersion;createUserRiskFlag;getAdminGiftCatalogItem;getAdminGiftRequest;getAdminOrder;getAdminPlayer;getAdminServiceCatalogVersion;getAdminServicePackageVersion;getAdminUser;listAdminGiftCatalogItems;listAdminGiftRequests;listAdminOrders;listAdminPlayers;listAdminUserConsumptions;listAdminUsers;listCommissions;listPlayerEarnings;listServiceCatalogVersions;setUserOperationalStatus;updateGiftCatalogItem;updatePlayerEarning;updateServiceCatalogVersion","tests/m4-us-03-admin-detail-contract.spec.ts;tests/m4-us-03-api.spec.ts;tests/m4-us-03-dashboard.spec.ts;tests/m4-us-03-db.spec.ts;tests/m4-us-03-list-pagination.spec.ts;tests/m4-us-03-player-earnings-actions.spec.ts","evidence/P0/M23-US-04/summary.md;evidence/P0/M4-US-03/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CHN-001","P0_BLOCKER","E2E","DISCORD_CHANNEL","创建私密订单频道并应用最小权限","SPEC-5.5; SPEC-6.2; SPEC-7; SPEC-17.1","E2E_DISCORD","M0-US-01;M1-US-04;M17-US-02;M23-US-04","createOrder;getHealth;getOrder;getReadiness;updateOrder","tests/m0-us-01.spec.ts;tests/m1-us-04-bot.spec.ts;tests/m17-us-02-private-channel-adapter.spec.ts","evidence/P0/M0-US-01/summary.md;evidence/P0/M1-US-04/summary.md;evidence/P0/M23-US-04/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-CHN-002","P0_HIGH","E2E","DISCORD_CHANNEL","客户终选后只授权正式陪玩","SPEC-6.3; SPEC-11.1; SPEC-17.2","E2E_DISCORD","M0-US-01","getHealth;getReadiness","tests/m0-us-01.spec.ts","evidence/P0/M0-US-01/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-CHN-003","P0_HIGH","E2E","RECOVERY","创建频道失败不会产生可提交订单","SPEC-12; SPEC-17.1","E2E_DISCORD_FAULT","M0-US-05;M20-US-09;M23-US-04;M4-US-06","getPolicySettings;listAuditLogs;listFailedJobs;retryJob;updatePolicySetting","tests/m0-us-05.spec.ts;tests/m20-us-09-discord-side-effects.spec.ts;tests/m4-us-06-api.spec.ts;tests/m4-us-06-dashboard.spec.ts;tests/m4-us-06-db.spec.ts","evidence/P0/M0-US-05/summary.md;evidence/P0/M20-US-09/summary.md;evidence/P0/M23-US-04/summary.md;evidence/P0/M4-US-06/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
